,Day,Price
0,0,1875.0
1,1,2184.0
2,2,1453.0
3,3,1805.0
4,4,1260.0
5,5,1308.0
6,6,1496.0
7,7,1760.0
8,8,1308.0
9,9,1393.0
10,10,1759.0
11,11,1423.0
12,12,1573.0
13,13,1448.0
14,14,1594.0
15,15,1668.0
16,16,1564.0
17,17,1730.0
18,18,1283.0
19,19,1473.0
20,20,1418.0
21,21,1248.0
22,22,1476.0
23,23,1378.0
24,24,1616.0
25,25,1189.0
26,26,1458.0
27,27,1406.0
28,28,1398.0
29,29,1481.0
30,30,1653.0
31,31,1490.0
32,32,1580.0
33,33,1490.0
34,34,1471.0
35,35,1471.0
36,36,1471.0
37,37,1448.0
38,38,1471.0
39,39,1451.0
40,40,1451.0
41,41,1261.0
42,42,1376.0
43,43,1357.0
44,44,1357.0
45,45,1666.0
46,46,1579.0
47,47,1519.0
48,48,1488.0
49,49,1548.0
50,50,1573.0
51,51,1693.0
52,52,1376.0
53,53,1376.0
54,54,1490.0
55,55,1357.0
56,56,1376.0
57,57,1376.0
58,58,1490.0
59,59,1471.0
